91B2,243009,40.39293631,-87.93218356,"Swygert silty clay loam, 2 to 4 percent slopes, eroded",46,46,3.88,6.88,12.42,15.49,Somewhat poorly drained,Somewhat poorly drained
149A,242961,40.38321481,-87.9322647,"Brenton silt loam, 0 to 2 percent slopes",46,46,5.93,11.43,20.67,29,Somewhat poorly drained,Somewhat poorly drained
149A,242961,40.3563855,-87.9323118,"Brenton silt loam, 0 to 2 percent slopes",46,46,5.93,11.43,20.67,29,Somewhat poorly drained,Somewhat poorly drained
3107A,243001,40.39862745,-87.93232606,"Sawmill silty clay loam, 0 to 2 percent slopes, frequently flooded",15,15,4.51,9.02,17.84,26.31,Poorly drained,Poorly drained
146B2,243014,40.26294117,-87.9325314,"Elliott silty clay loam, 2 to 4 percent slopes, eroded",46,46,4.35,7.96,13.93,18.5,Somewhat poorly drained,Somewhat poorly drained
102A,242958,40.3502305,-87.93254197,"La Hogue loam, 0 to 2 percent slopes",46,46,5.45,10.37,18.37,25.57,Somewhat poorly drained,Somewhat poorly drained
23B2,243008,40.35827529,-87.93258254,"Blount silt loam, 2 to 4 percent slopes, eroded",33,33,4.7,8.7,15.02,19.02,Somewhat poorly drained,Somewhat poorly drained
3107A,243001,40.39559857,-87.93270425,"Sawmill silty clay loam, 0 to 2 percent slopes, frequently flooded",15,15,4.51,9.02,17.84,26.31,Poorly drained,Poorly drained
W,242996,40.35112452,-87.93282645,Water,,,,,,,,
W,242996,40.33220086,-87.9328355,Water,,,,,,,,
146B2,243014,40.24114956,-87.93287891,"Elliott silty clay loam, 2 to 4 percent slopes, eroded",46,46,4.35,7.96,13.93,18.5,Somewhat poorly drained,Somewhat poorly drained
623A,243010,40.38355612,-87.93294866,"Kishwaukee silt loam, 0 to 2 percent slopes",,,5.5,10.12,19.12,26.17,Well drained,Well drained
687C2,242983,40.38355612,-87.93294866,"Penfield loam, 5 to 10 percent slopes, eroded",145,145,5.12,9.39,17.74,25.64,Well drained,Well drained
146B2,243014,40.22554346,-87.93296592,"Elliott silty clay loam, 2 to 4 percent slopes, eroded",46,46,4.35,7.96,13.93,18.5,Somewhat poorly drained,Somewhat poorly drained
149A,242961,40.35187989,-87.93300951,"Brenton silt loam, 0 to 2 percent slopes",46,46,5.93,11.43,20.67,29,Somewhat poorly drained,Somewhat poorly drained
235A,242979,40.39209141,-87.933036,"Bryce silty clay, 0 to 2 percent slopes",15,15,3.24,6.12,11.55,16.16,Poorly drained,Poorly drained
146B2,243014,40.25677427,-87.93309198,"Elliott silty clay loam, 2 to 4 percent slopes, eroded",46,46,4.35,7.96,13.93,18.5,Somewhat poorly drained,Somewhat poorly drained
223B2,243022,40.24672319,-87.93325258,"Varna silt loam, 2 to 4 percent slopes, eroded",84,84,4.98,9.18,17.08,21.25,Moderately well drained,Moderately well drained
91A,243028,40.39938786,-87.93332686,"Swygert silty clay loam, 0 to 2 percent slopes",46,46,4.47,7.76,13.1,16.72,Somewhat poorly drained,Somewhat poorly drained
687B,242982,40.28251493,-87.93348007,"Penfield loam, 2 to 5 percent slopes",145,145,5.5,9.75,18.25,26.75,Well drained,Well drained
W,242996,40.32141619,-87.93350689,Water,,,,,,,,
